(7354628052242564086, -6586171383872042998)
(25718559019340519, 5005780741067019199)
(-3276974402062751794, -4862544757730815216)
(923398326552017823, -8900747925402541799)
(-4472488810235101708, -3538979611265429382)
(8667437684175214835, 5188897638595137969)
(-2964922917931608698, -3015391227823311782)
(932088523002087639, 4194282406668089731)
(2979240175011533269, -425989491418581239)
(-418858799465005262, -2271267245032153872)
(-7933469319411614480, -7543143464612087612)
(3430881424756510455, -229989859432220046)
(-1312072208583988041, -3715545456083397977)
(5221089124606231006, -5390478707853096089)
(5039363355211749099, -1290169822594255386)
(-8595062685131113632, -4471811589971421766)
(-1867492367483536348, 6990272124465180861)
(7012281764707060952, -4660184222947606140)
(-242060227081808613, 476897140301560448)
(-6957926415959435258, 6437308301928680200)
(-4227066268208348018, -7946241391539785792)
(-1143041543445069757, 6036392528663081102)
(7907621850652121298, -3464024362053911954)
(-8672258230823328758, -9084147556297913051)
(1444710725398678131, -8109544915071136751)
(-2067540576137192300, 3691162552785147877)
(5758384026698877873, -7310395012489319138)
(-5200719005672337503, 5341306619339660158)
(-3898424839051688459, -5588479262762741308)
(-1012502438409297820, 6837479089289004208)
(7729876491654128308, 7329873489193167875)
(7940737525226924293, 8167261995128868556)
(-8847657458404683062, 8085741616526757177)
(-8784773169024451207, 8281988065478913935)
(3441551380176082072, -423733847413152133)
(1610771553352350340, 3664783249060870642)
(2808897153543258421, 93627046203563093)
(-7504361078527187292, -8716182855208504073)
(-2769286022787101188, -4682659525117104458)
(-5224397474011794120, -6875417720669257175)
(5846218038602999563, 7744113270547972616)
(-4223243557068383841, -2613400928573376540)
(-6452107858546274022, 4103794153001470799)
(8294154722183230450, 924294969369261660)
(-8939221530874952787, -3928160316857558518)
(-8014922362819905469, -7093359907597214682)
(-5170185883889824798, -4985766930073005288)
(-1034031872304842879, 3604810127370895566)
(4895304316640783367, 583580057330978993)
(4337707999026071608, 8650127684891595851)
(-2582162788088318445, -4264377295447490907)
(3403157663801988814, -8495671110049179855)
(-2171882961648650104, -5099230730600947198)
(-28586306925387813, -8659294875272265554)
(6031649440559684497, -9067838155554999115)
(-6672516142800408074, -2320447120942259208)
(6934413676065989876, 7270340433326440236)
(-1275023684732893700, -3355715338416227808)
(-3419040077257541630, 7062902827220615784)
(520433937685921383, -5136502342893199368)
(6907279810276836243, -3806752637473167591)
(-7488850138899277953, -2155635749710304877)
(-6173226840908176843, -6703024202039298709)
(-4701427810742842698, -8194644071720193571)
(-1551294506765589472, 595593828286574238)
(-7685291003491193283, -6743505447967995692)
(8078825980385766005, -8643686538135552561)
(2883260927730216554, -6923701603778582398)
(4329225448404223359, -3500334920351317089)
(7188234329556773920, -7156724330209018765)
(7218600942536402592, -8167493349260662163)
(9043303585824861614, 134804602556288646)
(2841703901068544226, 2317800499929342293)
(-244611704207603090, 2038795399922491745)
(-3247021851884175575, -6724142650450156598)
(1724045703119826787, 5517373981100303940)
(1016408781782032381, 6508733910874838051)
(-4814338359720362496, 1719202515389351172)
(-6320756709563280835, 2053513032116964286)
(-5352876757242227238, 6232376603292033188)
(959332142459813564, 7451609340253331230)
(-3713621031013396623, -3941928433482090356)
(4089320032798070498, -8134712675007384922)
(-3424209827128374442, -4179035698194788170)
(-6717613548420118191, -7609280517102915369)
(8077886338618628831, 2449247126218093859)
(-5319642705463117112, -9019264375554541646)
(-926583933647862291, 4285314446781108127)
